fips,county,ruc_code,percent,lowerbound,upperbound,,,
6000,California,,11.8,11.7,11.9,,,
6001,Alameda,1,8.9,8.2,9.6,,,
6003,Alpine,8,17.2,13,21.4,,,
6005,Amador,6,9.8,7.4,12.2,,,
6007,Butte,3,16.1,14.2,18,,,
6009,Calaveras,6,12.1,9.4,14.8,,,
6011,Colusa,6,12,9.7,14.3,,,
6013,Contra Costa,1,7.9,7.1,8.7,,,
6015,Del Norte,7,17.9,13.1,22.7,,,
6017,El Dorado,1,8.7,7.5,9.9,,,
6019,Fresno,2,20.5,19.2,21.8,,,
6021,Glenn,6,12.1,8.9,15.3,,,
6023,Humboldt,5,19.1,16.9,21.3,,,
6025,Imperial,3,22,19,25,,,
6027,Inyo,7,11.7,9.1,14.3,,,
6029,Kern,2,19,17.4,20.6,,,
6031,Kings,3,16,13.4,18.6,,,
6033,Lake,4,18.3,14.9,21.7,,,
6035,Lassen,7,16.5,12.7,20.3,,,
6037,Los Angeles,1,13.4,13,13.8,,,
6039,Madera,3,17.6,14.8,20.4,,,
6041,Marin,1,6.9,5.9,7.9,,,
6043,Mariposa,8,15.1,11.9,18.3,,,
6045,Mendocino,4,14,11.6,16.4,,,
6047,Merced,2,17,14.4,19.6,,,
6049,Modoc,6,20.5,15.9,25.1,,,
6051,Mono,7,10.1,7.7,12.5,,,
6053,Monterey,2,12.6,11.1,14.1,,,
6055,Napa,3,7.4,5.9,8.9,,,
6057,Nevada,4,9.4,7.3,11.5,,,
6059,Orange,1,9.5,8.9,10.1,,,
6061,Placer,1,6.6,5.6,7.6,,,
6063,Plumas,7,13.2,10.1,16.3,,,
6065,Riverside,1,11.3,10.5,12.1,,,
6067,Sacramento,1,12.6,11.6,13.6,,,
6069,San Benito,1,10.4,8.6,12.2,,,
6071,San Bernardino,1,13.3,12.4,14.2,,,
6073,San Diego,1,10.3,9.6,11,,,
6075,San Francisco,1,9.5,8.7,10.3,,,
6077,San Joaquin,2,13.6,12.3,14.9,,,
6079,San Luis Obispo,2,11.6,10,13.2,,,
6081,San Mateo,1,6.1,5.3,6.9,,,
6083,Santa Barbara,2,12,10.7,13.3,,,
6085,Santa Clara,1,6.1,5.5,6.7,,,
6087,Santa Cruz,2,10.6,8.9,12.3,,,
6089,Shasta,3,13.3,11.1,15.5,,,
6091,Sierra,8,12.7,9.5,15.9,,,
6093,Siskiyou,6,17.4,14.4,20.4,,,
6095,Solano,2,9,7.8,10.2,,,
6097,Sonoma,2,7.2,6.2,8.2,,,
6099,Stanislaus,2,13,11.5,14.5,,,
6101,Sutter,3,12.8,10.2,15.4,,,
6103,Tehama,4,16.3,13,19.6,,,
6105,Trinity,8,16.5,12.4,20.6,,,
6107,Tulare,2,18.9,16.5,21.3,,,
6109,Tuolumne,4,11.3,8.7,13.9,,,
6111,Ventura,2,8.2,7.2,9.2,,,
6113,Yolo,1,16.9,15.4,18.4,,,
6115,Yuba,3,15.2,12.4,18,,,
