FIPS,County,"2013 Rural-urban Continuum Code*	",not_completing_high_school_2015_2019,completing_high_school_2015-2019,completing_some_college_2015-2019,completing_college_2015-2019,,,,,,,
6000,California,,16.70%,20.50%,28.90%,33.90%,,,,,,,
6001,"Alameda, CA",1,11.60%,17.60%,23.50%,47.40%,,,,,,,
6003,"Alpine, CA",8,8.80%,28.10%,28.60%,34.50%,,,,,,,
6005,"Amador, CA",6,10.00%,27.50%,43.30%,19.30%,,,,,,,
6007,"Butte, CA",3,10.80%,22.50%,39.50%,27.20%,,,,,,,
6009,"Calaveras, CA",6,9.80%,28.00%,43.90%,18.30%,,,,,,,
6011,"Colusa, CA",6,28.70%,26.20%,30.00%,15.00%,,,,,,,
6013,"Contra Costa, CA",1,10.50%,17.30%,29.90%,42.40%,,,,,,,
6015,"Del Norte, CA",7,19.90%,31.00%,34.20%,14.80%,,,,,,,
6017,"El Dorado, CA",1,6.60%,21.30%,37.90%,34.30%,,,,,,,
6019,"Fresno, CA",2,24.00%,22.70%,32.10%,21.20%,,,,,,,
6021,"Glenn, CA",6,25.20%,27.20%,33.40%,14.20%,,,,,,,
6023,"Humboldt, CA",5,9.50%,22.20%,37.90%,30.40%,,,,,,,
6025,"Imperial, CA",3,30.30%,24.30%,30.20%,15.20%,,,,,,,
6027,"Inyo, CA",7,11.40%,28.60%,32.80%,27.20%,,,,,,,
6029,"Kern, CA",2,25.90%,27.80%,29.90%,16.40%,,,,,,,
6031,"Kings, CA",3,26.60%,25.30%,33.40%,14.70%,,,,,,,
6033,"Lake, CA",4,14.20%,30.50%,39.70%,15.50%,,,,,,,
6035,"Lassen, CA",7,16.80%,34.50%,35.70%,12.90%,,,,,,,
6037,"Los Angeles, CA",1,20.90%,20.60%,26.00%,32.50%,,,,,,,
6039,"Madera, CA",3,28.10%,24.90%,32.50%,14.60%,,,,,,,
6041,"Marin, CA",1,6.70%,10.50%,23.30%,59.50%,,,,,,,
6043,"Mariposa, CA",8,9.40%,24.40%,41.70%,24.60%,,,,,,,
6045,"Mendocino, CA",4,13.50%,25.00%,37.10%,24.40%,,,,,,,
6047,"Merced, CA",2,30.90%,25.30%,30.10%,13.80%,,,,,,,
6049,"Modoc, CA",6,15.20%,33.00%,36.60%,15.20%,,,,,,,
6051,"Mono, CA",7,11.40%,24.20%,35.50%,28.80%,,,,,,,
6053,"Monterey, CA",2,28.50%,20.30%,26.50%,24.70%,,,,,,,
6055,"Napa, CA",3,14.50%,17.80%,32.00%,35.70%,,,,,,,
6057,"Nevada, CA",4,5.60%,18.40%,38.80%,37.20%,,,,,,,
6059,"Orange, CA",1,14.50%,17.20%,27.70%,40.60%,,,,,,,
6061,"Placer, CA",1,5.50%,18.00%,36.80%,39.70%,,,,,,,
6063,"Plumas, CA",7,4.90%,26.10%,45.30%,23.70%,,,,,,,
6065,"Riverside, CA",1,18.00%,26.90%,32.90%,22.30%,,,,,,,
6067,"Sacramento, CA",1,12.30%,22.40%,34.50%,30.90%,,,,,,,
6069,"San Benito, CA",1,19.50%,24.80%,36.00%,19.70%,,,,,,,
6071,"San Bernardino, CA",1,20.00%,26.30%,32.70%,21.00%,,,,,,,
6073,"San Diego, CA",1,12.60%,18.20%,30.40%,38.80%,,,,,,,
6075,"San Francisco, CA",1,11.50%,12.10%,18.40%,58.10%,,,,,,,
6077,"San Joaquin, CA",2,20.70%,28.30%,32.20%,18.80%,,,,,,,
6079,"San Luis Obispo, CA",2,8.70%,19.90%,36.00%,35.40%,,,,,,,
6081,"San Mateo, CA",1,10.40%,14.90%,23.80%,51.00%,,,,,,,
6083,"Santa Barbara, CA",2,19.10%,17.80%,29.00%,34.20%,,,,,,,
6085,"Santa Clara, CA",1,11.60%,14.10%,21.90%,52.40%,,,,,,,
6087,"Santa Cruz, CA",2,13.70%,15.50%,30.00%,40.80%,,,,,,,
6089,"Shasta, CA",3,8.90%,25.40%,43.50%,22.20%,,,,,,,
6091,"Sierra, CA",8,7.60%,31.70%,42.80%,17.90%,,,,,,,
6093,"Siskiyou, CA",6,9.80%,25.50%,41.60%,23.20%,,,,,,,
6095,"Solano, CA",2,11.60%,23.80%,37.70%,26.90%,,,,,,,
6097,"Sonoma, CA",2,11.20%,18.70%,34.50%,35.50%,,,,,,,
6099,"Stanislaus, CA",2,21.10%,29.30%,32.50%,17.10%,,,,,,,
6101,"Sutter, CA",3,21.80%,23.30%,36.60%,18.20%,,,,,,,
6103,"Tehama, CA",4,15.50%,30.10%,38.70%,15.70%,,,,,,,
6105,"Trinity, CA",8,7.60%,34.80%,38.00%,19.50%,,,,,,,
6107,"Tulare, CA",2,29.20%,25.50%,30.70%,14.60%,,,,,,,
6109,"Tuolumne, CA",4,9.30%,28.30%,41.90%,20.50%,,,,,,,
6111,"Ventura, CA",2,15.00%,19.20%,32.10%,33.80%,,,,,,,
6113,"Yolo, CA",1,13.50%,18.10%,27.00%,41.40%,,,,,,,
6115,"Yuba, CA",3,17.70%,23.60%,41.60%,17.10%,,,,,,,
,,,,,,,,,,,,,
